kitten,cat,puppy,dog
friendly,kind,mean,aggressive
rough,scratchy,smooth,silky
delicious,yummy,gross,yucky
adorable,cute,scary,creepy
good,bad,black,white
smile,frown,pretty,ugly
near,far,open,closed
strong,weak,love,hate
feather,bird,fur,dog
wolf,pack,fish,school
hand,finger,foot,toe
class,student,forest,tree
pencil,write,scissors,cut
kitchen,cook,bedroom,sleep
hit,baseball,catch,glove
print,printer,copy,copier
artist,draw,actor,act
teacher,instruct,accountant,count
hunt,hunter,dive,diver
bake,baker,clean,cleaner
cow,mammal,snake,reptile
apple,fruit,carrot,vegetable
Peru,country,South_America,continent
Pacific,ocean,Colorado,river
eat,fed,sleep,rested
flood,rain,drought,heat
wealthy,invest,broke,overspend
gray,black,pink,red
giggle,laugh,sniffle,sob
furious,annoyed,overjoyed,pleased
cold,cool,hot,warm
oven,hot,refrigerator,cold
pillow,soft,rock,hard
blue,sky,green,grass
wet,water,dry,sand
tree,leaf,flower,petal
hammer,nail,comb,hair
white,black,up,down
mansion,shack,yacht,dinghy
short,light,long,heavy
bees,hive,bears,den
speak,sing,walk,dance
chef,food,sculptor,stone
like,love,dislike,hate
sly,fox,blind,bat
fathers,mothers,uncles,aunts
snowflake,snow,raindrop,rain
hat,head,glove,hand
math,numbers,english,letters
